Item,Stock,Buy Price,Sell Price,Supplier,Last Restock
floral dresses with elastic ,4,650.0,,janies,2026-04-17
2 piece sets ,7,750.0,,sharma fashions,2026-04-17
3 piece sets,2,850.0,,janies wholesalers,2026-04-17
kitenge dresses,1,650.0,,eastleigh,2026-04-17
maxi flowing dresses,16,650.0,,devine,2026-01-17
shift dresses,2,800.0,,meru,2026-02-17
floral shift dresses,2,480.0,,devine,2026-01-17
dresses,7,550.0,,devine,2026-01-17
straight dresses,2,550.0,,devine,2026-01-17
bodycon dresses,3,700.0,,sharma,2026-01-17
bodycon dresses - <500,6,400.0,,sharma,2026-01-17
,1,0.0,,,2026-09-18
