Date,Item,Buying Price,Selling Price,Quantity,Revenue,Profit
2026-03-14,Heavy 2 Piece,850.0,1000.0,1,1000.0,150.0
2026-03-14,light  2 Piece,750.0,1000.0,1,1000.0,250.0
2026-03-14,3 D tshirt,300.0,400.0,1,400.0,100.0
2026-03-14,short circular dress,600.0,700.0,1,700.0,100.0
2026-03-14,short straight dress,650.0,700.0,1,700.0,50.0
2026-03-14,arsenal jersey,200.0,250.0,1,250.0,50.0
2026-03-14,arsenal jersey,200.0,350.0,1,350.0,150.0
2026-03-14,arsenal jersey,200.0,250.0,1,250.0,50.0
2026-03-14,shift dress ,480.0,650.0,1,650.0,170.0
2026-03-14,maxi straight,450.0,650.0,1,650.0,200.0
2026-03-14,short sundress,600.0,850.0,1,850.0,250.0
2026-03-14,shoes women fancy,500.0,600.0,1,600.0,100.0
2026-03-14,shoes women fancy,500.0,700.0,1,700.0,200.0
2026-03-14,short off dress,350.0,400.0,1,400.0,50.0
2026-03-14,short circular dress,600.0,750.0,1,750.0,150.0
2026-03-14,shift dress,480.0,650.0,1,650.0,170.0
2026-03-14,shift dress,480.0,750.0,1,750.0,270.0
2026-03-14,open sandal,200.0,300.0,1,300.0,100.0
2026-03-14,maxi flowered dress,650.0,700.0,1,700.0,50.0
2026-03-14,open sandal,200.0,300.0,1,300.0,100.0
2026-03-14,open fancy sandal,350.0,500.0,2,1000.0,300.0
2026-03-14,jersey,200.0,350.0,2,700.0,300.0
2026-03-14,shift dress,480.0,650.0,1,650.0,170.0
2026-03-14,closed flat shoe,250.0,350.0,1,350.0,100.0
2026-03-14,maxi polka dots,600.0,900.0,1,900.0,300.0
2026-03-14,open sandal,200.0,300.0,1,300.0,100.0
2026-03-14,maxi straight dress,450.0,700.0,1,700.0,250.0
2026-03-14,floral dress,550.0,700.0,1,700.0,150.0
2026-03-14,floral dress,550.0,600.0,1,600.0,50.0
2026-03-14,floral dress,450.0,600.0,1,600.0,150.0
2026-03-14,floral dress,480.0,900.0,1,900.0,420.0
2026-03-14,maxi polka dots,600.0,1000.0,1,1000.0,400.0
2026-03-14,floral dress,600.0,800.0,1,800.0,200.0
2026-03-14,maxi polka dots,600.0,1200.0,1,1200.0,600.0
2026-03-14,maxi polka dots,650.0,900.0,1,900.0,250.0
